feature,data_type,unique_count,organic_unique_count,supplement_unique_count,missing_rate,organic_missing_rate,supplement_missing_rate,dominant_value,dominant_pct,organic_dominant_value,organic_dominant_pct,supplement_dominant_value,supplement_dominant_pct,entropy_organic,entropy_supplement,categories_only_in_organic,categories_only_in_supplement,organic_mean,supplement_mean,organic_std,supplement_std,standardized_mean_diff_cohens_d,ks_statistic,ks_pvalue,cramers_v_vs_source,verdict
balance_after_transaction,numeric,19979,19978,1,0.0,0.0,0.0,40398.73,0.3333333333333333,975.66,0.0001,40398.73,1.0,14.285512379549452,-0.0,,,40413.74008149999,40398.73,22915.17212984295,0.0,0.0009263496127950002,0.5,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
transaction_frequency_score,numeric,22285,15332,7335,0.0,0.0,0.0,0.0,0.006033333333333333,0.0,0.00575,0.0,0.0066,13.754874090421216,12.676825057570412,,,0.8151342255291839,0.8130359457956505,0.48530193721996506,0.48887263217449684,0.004307781591901112,0.011199999999999988,0.37030947748839993,,NORMAL
txn_success_flag,numeric,2,2,1,0.0,0.0,0.0,1.0,0.9209333333333334,1.0,0.8814,1.0,1.0,0.5253231746383613,-0.0,,,0.8814,1.0,0.32332532682013665,0.0,-0.5187522120429299,0.1186,3.6175634328449807e-82,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
kyc_verified_flag,numeric,2,2,1,0.0,0.0,0.0,1.0,0.9098,1.0,0.8647,1.0,1.0,0.5717963266898329,-0.0,,,0.8647,1.0,0.34205227668881166,0.0,-0.5593972267670583,0.1353,6.626325884468833e-107,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_age_group,categorical,5,5,1,0.0,0.0,0.0,25-34,0.5732333333333334,25-34,0.35985,25-34,1.0,2.123915822662381,-0.0,"18-24, 35-44, 45-54, 55+",,,,,,,,,0.6101189712173908,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_home_city_tier,numeric,3,3,1,0.0,0.0,0.0,2,0.6005,2,0.40075,2,1.0,1.5540959361295632,-0.0,,,1.88315,2.0,0.7652616276594157,0.0,-0.21594033829805706,0.35805,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_account_age_days,numeric,1362,1362,1,0.0,0.0,0.0,1291.0,0.33363333333333334,747.0,0.00305,1291.0,1.0,10.207053486711894,-0.0,,,1285.94785,1291.0,697.869903886473,0.0,-0.010238038650690262,0.4999,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_linked_bank_count,numeric,4,4,1,0.0,0.0,0.0,2.0,0.5469333333333334,1.0,0.49635,2.0,1.0,1.6316227130785157,-0.0,,,1.73715,2.0,0.8725238921640599,0.0,-0.4260353650004954,0.49635,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_avg_monthly_txn_profile,numeric,81,81,1,0.0,0.0,0.0,30.0,0.3541,32.0,0.03625,30.0,1.0,5.794876694916725,-0.0,,,31.939,30.0,14.645695743807838,0.0,0.1872331738559303,0.48865000000000003,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_avg_txn_value_profile,numeric,1982,1982,1,0.0,0.0,0.0,544.55,0.3337,368.72,0.0013,544.55,1.0,10.875784988661403,-0.0,,,691.6244275,544.5500000000001,517.2255831300637,1.1369252248986327e-13,0.4021352710166605,0.4998,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_preferred_app,categorical,6,6,1,0.0,0.0,0.0,GPay,0.5396333333333333,GPay,0.30945,GPay,1.0,2.2905251296945797,-0.0,"Amazon Pay, BHIM, Paytm, PhonePe, WhatsApp Pay",,,,,,,,,0.653111834417524,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_preferred_device,categorical,3,3,1,0.0,0.0,0.0,Android,0.7718,Android,0.6577,Android,1.0,1.1942209246287192,-0.0,"Web, iOS",,,,,,,,,0.3844947684973281,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
usr_is_high_risk,numeric,2,2,1,0.0,0.0,0.0,0.0,0.9648,0.0,0.9472,0.0,1.0,0.2981741421235818,-0.0,,,0.0528,0.0,0.2236395777429314,0.0,0.33388757413560954,0.05279999999999996,1.355806491104171e-16,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
mrc_category,categorical,15,12,5,0.0,0.0,0.0,P2P Transfer,0.1627,P2P Transfer,0.24405,Food,0.2023,3.22901374454608,2.3218610944885225,"Education, Entertainment, Food & Dining, Fuel, Healthcare, Insurance, P2P Transfer, Recharge, Shopping, Utilities","Clothing, Electronics, Food",,,,,,,,0.8476755310965821,NORMAL
mrc_size,categorical,4,4,1,0.0,0.0,0.0,Small,0.6044333333333334,Small,0.40665,Small,1.0,1.8560732628394248,-0.0,"Enterprise, Medium, P2P",,,,,,,,,0.572032419206248,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
mrc_avg_daily_txn,numeric,122,122,1,0.0,0.0,0.0,12.0,0.37133333333333335,0.0,0.24405,12.0,1.0,5.239097146636862,-0.0,,,44.5694,12.0,75.4902736960937,0.0,0.6101459822994084,0.49324999999999997,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
mrc_is_registered,numeric,2,2,1,0.0,0.0,0.0,1.0,0.9620333333333333,1.0,0.94305,1.0,1.0,0.3152166441811107,-0.0,,,0.94305,1.0,0.23175284889111605,0.0,-0.34752307366451135,0.05695,3.090348931660423e-19,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
mrc_rating,numeric,26,26,1,0.1627,0.24405,0.0,3.7,0.42386241490505194,3.6,0.0632316952179377,3.7,1.0,4.613316103345347,-0.0,,,3.74256233877902,3.7000000000000006,0.7205991986669431,4.441114159760284e-16,0.08353081277214669,0.4825715986507044,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
