feature,importance_coefficient,importance_permutation,importance_combined,organic_distribution,supplement_distribution,data_type,unique_count,missing_rate,organic_missing_rate,supplement_missing_rate,legitimate_at_inference,possible_source_artifact,possible_synthetic_artifact,possible_leakage,decision,classification,mechanism
is_weekend,1.512642833201679,0.00018897500000002453,0.1031781796438604,mean=0.2814,mean=0,numeric,2,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=0.0069, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
payment_app,1.2480151254174285,0.00021122500000002596,0.08568392113024043,GPay (32.2%),GPay (100.0%),categorical,6,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0140, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
mrc_is_registered,1.1794493627057092,0.0001624250000000327,0.08060246232550258,mean=0.9431,mean=1,numeric,2,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=0.0330, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
receiver_type,1.1454677807204179,3.905000000004044e-05,0.07708671777614878,Merchant (75.6%),Merchant (100.0%),categorical,2,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0023, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
usr_is_high_risk,1.0776870501541076,0.00018513750000002105,0.07401740393774299,mean=0.0528,mean=0,numeric,2,0.0,0.0,0.0,True,True,True,False,"KEEP (source-artifact explains separability, but shows real organic fraud signal -- not removed)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact, not a real-world pattern (the supplement is schema-bridged from an external synthetic dataset that repeats one templated profile). This alone explains why it separates organic from supplement almost perfectly. However, within anchor-only (organic) rows, this feature shows a non-negligible association with is_fraud (cohens_d_fraud_vs_legit=0.1669) -- real organic predictive value independent of the source-leakage question. Removing it would discard genuine signal to fix a dataset-generation problem, not a feature-validity problem."
usr_age_group,1.0725971712920603,0.00011340000000005235,0.07295529749596623,25-34 (36.0%),25-34 (100.0%),categorical,5,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0098, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
amount_deviation_score,1.0089462288052065,6.793750000003707e-05,0.06823646576460754,mean=0.6498,mean=0.4445,numeric,10384,0.0,0.0,0.0,True,True,True,False,"KEEP (source-artifact explains separability, but shows real organic fraud signal -- not removed)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact, not a real-world pattern (the supplement is schema-bridged from an external synthetic dataset that repeats one templated profile). This alone explains why it separates organic from supplement almost perfectly. However, within anchor-only (organic) rows, this feature shows a non-negligible association with is_fraud (cohens_d_fraud_vs_legit=0.1424) -- real organic predictive value independent of the source-leakage question. Removing it would discard genuine signal to fix a dataset-generation problem, not a feature-validity problem."
mrc_avg_daily_txn,0.9545566525435835,0.0001145625000000372,0.06506365796499258,mean=44.57,mean=12,numeric,122,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=0.0523, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
is_night_transaction,0.8370294406011516,0.00010240000000001359,0.05707240438802735,mean=0.3246,mean=0.1228,numeric,2,0.0,0.0,0.0,True,False,False,False,"KEEP (legitimate distributional difference, not an artifact)",DOMAIN_SHIFT,"Varies naturally in both sources but with a real distributional difference (effect size 0.499) -- consistent with the two sources representing somewhat different transaction populations (organic real-style data vs. an external synthetic dataset's generation assumptions), not a data-quality problem. Domain shift is not, on its own, a reason to remove a feature -- it is available at real inference time and not evidence of leakage."
hour_of_day,0.7559599787787296,0.00014725000000003207,0.052095414162769006,mean=11.57,mean=14.25,numeric,24,0.0,0.0,0.0,True,False,False,False,"KEEP (legitimate distributional difference, not an artifact)",DOMAIN_SHIFT,"Varies naturally in both sources but with a real distributional difference (effect size 0.436) -- consistent with the two sources representing somewhat different transaction populations (organic real-style data vs. an external synthetic dataset's generation assumptions), not a data-quality problem. Domain shift is not, on its own, a reason to remove a feature -- it is available at real inference time and not evidence of leakage."
